trial_num,run,run_type,stim_condition,trial_in_contingency,current_good,contingency_trials,flower1,flower2,slot1_position,slot2_position,choice,rt,correct,reward,wait_time,iti,timestamp,trial_start_time,stim_guess,stim_confidence,panas_item_1,panas_valence_1,panas_rating_1,panas_item_2,panas_valence_2,panas_rating_2,panas_item_3,panas_valence_3,panas_rating_3,panas_item_4,panas_valence_4,panas_rating_4,panas_item_5,panas_valence_5,panas_rating_5,panas_item_6,panas_valence_6,panas_rating_6,subject_id,session,age,gender,date
0,4,post_stimulation,baseline,0,2,27,1,29,left,right,2,859.4911098480225,True,False,2000.0,250.0,1319.6939642429352,5.122269868850708,no,3,Upset,negative,2,Enthusiastic,positive,2,Afraid,negative,2,Active,positive,2,Scared,negative,2,Excited,positive,2,11861,1,26,F,2026-06-24_12-46-30
1,4,post_stimulation,baseline,1,2,27,1,29,left,right,1,1010.5369091033936,False,False,2000.0,250.0,1324.9665315151215,10.394837379455566,no,3,Upset,negative,2,Enthusiastic,positive,2,Afraid,negative,2,Active,positive,2,Scared,negative,2,Excited,positive,2,11861,1,26,F,2026-06-24_12-46-30
2,4,post_stimulation,baseline,2,2,27,1,29,right,left,2,1781.8937301635742,True,False,2000.0,250.0,1331.0099647045135,16.438270330429077,no,3,Upset,negative,2,Enthusiastic,positive,2,Afraid,negative,2,Active,positive,2,Scared,negative,2,Excited,positive,2,11861,1,26,F,2026-06-24_12-46-30
3,4,post_stimulation,baseline,3,2,27,1,29,right,left,1,1577.7735710144043,False,True,2000.0,250.0,1336.8496379852295,22.27794313430786,no,3,Upset,negative,2,Enthusiastic,positive,2,Afraid,negative,2,Active,positive,2,Scared,negative,2,Excited,positive,2,11861,1,26,F,2026-06-24_12-46-30
4,4,post_stimulation,baseline,4,2,27,1,29,right,left,1,1338.9532566070557,False,True,2000.0,250.0,1342.4500138759613,27.87831950187683,no,3,Upset,negative,2,Enthusiastic,positive,2,Afraid,negative,2,Active,positive,2,Scared,negative,2,Excited,positive,2,11861,1,26,F,2026-06-24_12-46-30
5,4,post_stimulation,baseline,5,2,27,1,29,right,left,1,1289.844036102295,False,False,2000.0,250.0,1348.0021755695343,33.43048095703125,no,3,Upset,negative,2,Enthusiastic,positive,2,Afraid,negative,2,Active,positive,2,Scared,negative,2,Excited,positive,2,11861,1,26,F,2026-06-24_12-46-30
6,4,post_stimulation,baseline,6,2,27,1,29,right,left,2,1564.0971660614014,True,True,2000.0,250.0,1353.8277871608734,39.25609302520752,no,3,Upset,negative,2,Enthusiastic,positive,2,Afraid,negative,2,Active,positive,2,Scared,negative,2,Excited,positive,2,11861,1,26,F,2026-06-24_12-46-30
7,4,post_stimulation,baseline,7,2,27,1,29,left,right,2,1303.072452545166,True,True,2000.0,250.0,1359.3929748535156,44.821280002593994,no,3,Upset,negative,2,Enthusiastic,positive,2,Afraid,negative,2,Active,positive,2,Scared,negative,2,Excited,positive,2,11861,1,26,F,2026-06-24_12-46-30
8,4,post_stimulation,baseline,8,2,27,1,29,right,left,1,1889.8279666900635,False,True,2000.0,250.0,1365.5436611175537,50.97196626663208,no,3,Upset,negative,2,Enthusiastic,positive,2,Afraid,negative,2,Active,positive,2,Scared,negative,2,Excited,positive,2,11861,1,26,F,2026-06-24_12-46-30
9,4,post_stimulation,baseline,9,2,27,1,29,left,right,2,1428.3051490783691,True,True,2000.0,250.0,1371.2328720092773,56.66117715835571,no,3,Upset,negative,2,Enthusiastic,positive,2,Afraid,negative,2,Active,positive,2,Scared,negative,2,Excited,positive,2,11861,1,26,F,2026-06-24_12-46-30
