trial_num,run,run_type,stim_condition,trial_in_contingency,current_good,contingency_trials,flower1,flower2,slot1_position,slot2_position,choice,rt,correct,reward,wait_time,iti,timestamp,trial_start_time,stim_guess,stim_confidence,panas_item_1,panas_valence_1,panas_rating_1,panas_item_2,panas_valence_2,panas_rating_2,panas_item_3,panas_valence_3,panas_rating_3,panas_item_4,panas_valence_4,panas_rating_4,panas_item_5,panas_valence_5,panas_rating_5,panas_item_6,panas_valence_6,panas_rating_6,subject_id,session,age,gender,date
0,5,baseline,baseline,0,2,25,48,32,left,right,1,1373.0740547180176,False,False,2000.0,250.0,1649.8773822784424,5.635835647583008,no,5,Active,positive,3,Afraid,negative,1,Guilty,negative,1,Alert,positive,3,Irritable,negative,1,Attentive,positive,4,11606,1,60,F,2026-06-26_11-01-56
1,5,baseline,baseline,1,2,25,48,32,right,left,1,674.3700504302979,False,False,2000.0,250.0,1654.8131153583527,10.571568250656128,no,5,Active,positive,3,Afraid,negative,1,Guilty,negative,1,Alert,positive,3,Irritable,negative,1,Attentive,positive,4,11606,1,60,F,2026-06-26_11-01-56
2,5,baseline,baseline,2,2,25,48,32,left,right,1,943.3975219726562,False,False,2000.0,250.0,1660.0179688930511,15.776422262191772,no,5,Active,positive,3,Afraid,negative,1,Guilty,negative,1,Alert,positive,3,Irritable,negative,1,Attentive,positive,4,11606,1,60,F,2026-06-26_11-01-56
3,5,baseline,baseline,3,2,25,48,32,right,left,2,566.2319660186768,True,True,2000.0,250.0,1664.8459677696228,20.60442090034485,no,5,Active,positive,3,Afraid,negative,1,Guilty,negative,1,Alert,positive,3,Irritable,negative,1,Attentive,positive,4,11606,1,60,F,2026-06-26_11-01-56
4,5,baseline,baseline,4,2,25,48,32,right,left,2,446.1069107055664,True,True,2000.0,250.0,1669.553069114685,25.311522245407104,no,5,Active,positive,3,Afraid,negative,1,Guilty,negative,1,Alert,positive,3,Irritable,negative,1,Attentive,positive,4,11606,1,60,F,2026-06-26_11-01-56
5,5,baseline,baseline,5,2,25,48,32,right,left,2,528.1252861022949,True,True,2000.0,250.0,1674.3421490192413,30.1006019115448,no,5,Active,positive,3,Afraid,negative,1,Guilty,negative,1,Alert,positive,3,Irritable,negative,1,Attentive,positive,4,11606,1,60,F,2026-06-26_11-01-56
6,5,baseline,baseline,6,2,25,48,32,right,left,2,448.2293128967285,True,True,2000.0,250.0,1679.0511755943298,34.80962872505188,no,5,Active,positive,3,Afraid,negative,1,Guilty,negative,1,Alert,positive,3,Irritable,negative,1,Attentive,positive,4,11606,1,60,F,2026-06-26_11-01-56
7,5,baseline,baseline,7,2,25,48,32,left,right,2,529.1457176208496,True,True,2000.0,250.0,1683.842176914215,39.600629806518555,no,5,Active,positive,3,Afraid,negative,1,Guilty,negative,1,Alert,positive,3,Irritable,negative,1,Attentive,positive,4,11606,1,60,F,2026-06-26_11-01-56
8,5,baseline,baseline,8,2,25,48,32,left,right,2,452.35681533813477,True,True,2000.0,250.0,1688.555500984192,44.31395387649536,no,5,Active,positive,3,Afraid,negative,1,Guilty,negative,1,Alert,positive,3,Irritable,negative,1,Attentive,positive,4,11606,1,60,F,2026-06-26_11-01-56
9,5,baseline,baseline,9,2,25,48,32,right,left,2,502.7313232421875,True,True,2000.0,250.0,1693.3193175792694,49.077770948410034,no,5,Active,positive,3,Afraid,negative,1,Guilty,negative,1,Alert,positive,3,Irritable,negative,1,Attentive,positive,4,11606,1,60,F,2026-06-26_11-01-56
