trial_num,run,run_type,stim_condition,trial_in_contingency,current_good,contingency_trials,flower1,flower2,slot1_position,slot2_position,choice,rt,correct,reward,wait_time,iti,timestamp,trial_start_time,stim_guess,stim_confidence,panas_item_1,panas_valence_1,panas_rating_1,panas_item_2,panas_valence_2,panas_rating_2,panas_item_3,panas_valence_3,panas_rating_3,panas_item_4,panas_valence_4,panas_rating_4,panas_item_5,panas_valence_5,panas_rating_5,panas_item_6,panas_valence_6,panas_rating_6,subject_id,session,age,gender,date
0,1,baseline,baseline,0,1,27,8,23,left,right,2.0,1298.0389595031738,False,False,2000.0,250.0,77.72983741760254,5.561675071716309,yes,4,Attentive,positive,4,Jittery,negative,1,Upset,negative,1,Ashamed,negative,1,Enthusiastic,positive,2,Proud,positive,3,11168,1,29,F,2026-06-12_12-49-10
1,1,baseline,baseline,1,1,27,8,23,left,right,1.0,1006.5956115722656,True,True,2000.0,250.0,82.99737310409546,10.829210996627808,yes,4,Attentive,positive,4,Jittery,negative,1,Upset,negative,1,Ashamed,negative,1,Enthusiastic,positive,2,Proud,positive,3,11168,1,29,F,2026-06-12_12-49-10
2,1,baseline,baseline,2,1,27,8,23,right,left,1.0,845.5252647399902,True,True,2000.0,250.0,88.10400986671448,15.93584656715393,yes,4,Attentive,positive,4,Jittery,negative,1,Upset,negative,1,Ashamed,negative,1,Enthusiastic,positive,2,Proud,positive,3,11168,1,29,F,2026-06-12_12-49-10
3,1,baseline,baseline,3,1,27,8,23,left,right,1.0,661.4491939544678,True,True,2000.0,250.0,93.02611041069031,20.85794758796692,yes,4,Attentive,positive,4,Jittery,negative,1,Upset,negative,1,Ashamed,negative,1,Enthusiastic,positive,2,Proud,positive,3,11168,1,29,F,2026-06-12_12-49-10
4,1,baseline,baseline,4,1,27,8,23,right,left,1.0,677.8643131256104,True,False,2000.0,250.0,97.96532487869263,25.79716181755066,yes,4,Attentive,positive,4,Jittery,negative,1,Upset,negative,1,Ashamed,negative,1,Enthusiastic,positive,2,Proud,positive,3,11168,1,29,F,2026-06-12_12-49-10
5,1,baseline,baseline,5,1,27,8,23,left,right,2.0,920.1030731201172,False,True,2000.0,250.0,103.14812517166138,30.979962587356567,yes,4,Attentive,positive,4,Jittery,negative,1,Upset,negative,1,Ashamed,negative,1,Enthusiastic,positive,2,Proud,positive,3,11168,1,29,F,2026-06-12_12-49-10
6,1,baseline,baseline,6,1,27,8,23,right,left,2.0,1212.3339176177979,False,True,2000.0,250.0,108.62159514427185,36.45343208312988,yes,4,Attentive,positive,4,Jittery,negative,1,Upset,negative,1,Ashamed,negative,1,Enthusiastic,positive,2,Proud,positive,3,11168,1,29,F,2026-06-12_12-49-10
7,1,baseline,baseline,7,1,27,8,23,left,right,2.0,792.3378944396973,False,False,2000.0,250.0,113.67543029785156,41.507267475128174,yes,4,Attentive,positive,4,Jittery,negative,1,Upset,negative,1,Ashamed,negative,1,Enthusiastic,positive,2,Proud,positive,3,11168,1,29,F,2026-06-12_12-49-10
8,1,baseline,baseline,8,1,27,8,23,left,right,1.0,726.0375022888184,True,False,2000.0,250.0,118.6624002456665,46.494237661361694,yes,4,Attentive,positive,4,Jittery,negative,1,Upset,negative,1,Ashamed,negative,1,Enthusiastic,positive,2,Proud,positive,3,11168,1,29,F,2026-06-12_12-49-10
9,1,baseline,baseline,9,1,27,8,23,left,right,2.0,410.0940227508545,False,True,2000.0,250.0,123.33366322517395,51.16550087928772,yes,4,Attentive,positive,4,Jittery,negative,1,Upset,negative,1,Ashamed,negative,1,Enthusiastic,positive,2,Proud,positive,3,11168,1,29,F,2026-06-12_12-49-10
10,1,baseline,baseline,10,1,27,8,23,right,left,2.0,1137.1073722839355,False,False,2000.0,250.0,128.73218870162964,56.56402564048767,yes,4,Attentive,positive,4,Jittery,negative,1,Upset,negative,1,Ashamed,negative,1,Enthusiastic,positive,2,Proud,positive,3,11168,1,29,F,2026-06-12_12-49-10
