trial_num,run,run_type,stim_condition,trial_in_contingency,current_good,contingency_trials,flower1,flower2,slot1_position,slot2_position,choice,rt,correct,reward,wait_time,iti,timestamp,trial_start_time,stim_guess,stim_confidence,panas_item_1,panas_valence_1,panas_rating_1,panas_item_2,panas_valence_2,panas_rating_2,panas_item_3,panas_valence_3,panas_rating_3,panas_item_4,panas_valence_4,panas_rating_4,panas_item_5,panas_valence_5,panas_rating_5,panas_item_6,panas_valence_6,panas_rating_6,subject_id,session,age,gender,date
0,4,post_stimulation,baseline,0,2,25,30,34,right,left,2,1656.1379432678223,True,True,2000.0,250.0,1428.9201579093933,5.918600797653198,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
1,4,post_stimulation,baseline,1,2,25,30,34,right,left,2,514.8031711578369,True,False,2000.0,250.0,1433.6953799724579,10.693822622299194,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
2,4,post_stimulation,baseline,2,2,25,30,34,left,right,2,945.0368881225586,True,True,2000.0,250.0,1438.901023864746,15.899466753005981,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
3,4,post_stimulation,baseline,3,2,25,30,34,right,left,2,559.8876476287842,True,False,2000.0,250.0,1443.7207098007202,20.719152688980103,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
4,4,post_stimulation,baseline,4,2,25,30,34,right,left,1,496.2947368621826,False,True,2000.0,250.0,1448.477905035019,25.47634768486023,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
5,4,post_stimulation,baseline,5,2,25,30,34,left,right,1,525.5279541015625,False,False,2000.0,250.0,1453.2642192840576,30.262661933898926,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
6,4,post_stimulation,baseline,6,2,25,30,34,left,right,1,582.2033882141113,False,False,2000.0,250.0,1458.1072132587433,35.105656147003174,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
7,4,post_stimulation,baseline,7,2,25,30,34,left,right,2,647.0372676849365,True,True,2000.0,250.0,1463.0147743225098,40.01321721076965,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
8,4,post_stimulation,baseline,8,2,25,30,34,left,right,2,397.4781036376953,True,True,2000.0,250.0,1467.6732082366943,44.67165279388428,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
9,4,post_stimulation,baseline,9,2,25,30,34,left,right,2,399.9195098876953,True,True,2000.0,250.0,1472.3338904380798,49.33233308792114,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
10,4,post_stimulation,baseline,10,2,25,30,34,left,right,2,497.5709915161133,True,True,2000.0,250.0,1477.0920708179474,54.090513467788696,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
11,4,post_stimulation,baseline,11,2,25,30,34,right,left,2,502.6216506958008,True,True,2000.0,250.0,1481.8554818630219,58.85392451286316,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
12,4,post_stimulation,baseline,12,2,25,30,34,left,right,2,412.37688064575195,True,True,2000.0,250.0,1486.52881026268,63.52725291252136,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
13,4,post_stimulation,baseline,13,2,25,30,34,right,left,2,395.798921585083,True,True,2000.0,250.0,1491.1847326755524,68.18317532539368,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
14,4,post_stimulation,baseline,14,2,25,30,34,left,right,2,631.5064430236816,True,True,2000.0,250.0,1496.0769414901733,73.07538390159607,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
15,4,post_stimulation,baseline,15,2,25,30,34,left,right,2,434.4165325164795,True,True,2000.0,250.0,1500.7712531089783,77.769695520401,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
16,4,post_stimulation,baseline,16,2,25,30,34,right,left,2,435.840368270874,True,False,2000.0,250.0,1505.4672095775604,82.46565246582031,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
17,4,post_stimulation,baseline,17,2,25,30,34,right,left,2,431.19144439697266,True,False,2000.0,250.0,1510.1587636470795,87.15720677375793,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
18,4,post_stimulation,baseline,18,2,25,30,34,left,right,1,533.2605838775635,False,True,2000.0,250.0,1514.9515824317932,91.95002508163452,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
19,4,post_stimulation,baseline,19,2,25,30,34,right,left,1,446.87366485595703,False,False,2000.0,250.0,1519.6584103107452,96.6568534374237,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
20,4,post_stimulation,baseline,20,2,25,30,34,left,right,1,449.0838050842285,False,False,2000.0,250.0,1524.368530511856,101.36697888374329,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
21,4,post_stimulation,baseline,21,2,25,30,34,left,right,2,468.58835220336914,True,True,2000.0,250.0,1529.0973830223083,106.09582591056824,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
22,4,post_stimulation,baseline,22,2,25,30,34,left,right,2,414.1845703125,True,False,2000.0,250.0,1533.7720167636871,110.7704598903656,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
23,4,post_stimulation,baseline,23,2,25,30,34,left,right,2,399.8537063598633,True,False,2000.0,250.0,1538.4329960346222,115.4314386844635,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
24,4,post_stimulation,baseline,24,2,25,30,34,left,right,1,766.2379741668701,False,False,2000.0,250.0,1543.4597001075745,120.45814275741577,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
25,4,post_stimulation,baseline,0,1,27,30,34,right,left,1,380.9065818786621,True,True,2000.0,250.0,1548.1014394760132,125.09988212585449,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
26,4,post_stimulation,baseline,1,1,27,30,34,right,left,1,480.2241325378418,True,True,2000.0,250.0,1552.8422765731812,129.84071922302246,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
27,4,post_stimulation,baseline,2,1,27,30,34,right,left,1,366.8382167816162,True,True,2000.0,250.0,1557.4696638584137,134.46810698509216,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
28,4,post_stimulation,baseline,3,1,27,30,34,left,right,1,481.3661575317383,True,True,2000.0,250.0,1562.2119426727295,139.2103853225708,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
29,4,post_stimulation,baseline,4,1,27,30,34,right,left,1,365.3998374938965,True,True,2000.0,250.0,1566.8378744125366,143.83631706237793,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
30,4,post_stimulation,baseline,5,1,27,30,34,left,right,1,412.7380847930908,True,False,2000.0,250.0,1571.5111289024353,148.5095717906952,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
31,4,post_stimulation,baseline,6,1,27,30,34,left,right,1,432.3151111602783,True,False,2000.0,250.0,1576.2035162448883,153.20195889472961,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
32,4,post_stimulation,baseline,7,1,27,30,34,left,right,1,380.7110786437988,True,True,2000.0,250.0,1580.8446233272552,157.84306597709656,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
33,4,post_stimulation,baseline,8,1,27,30,34,right,left,1,613.1885051727295,True,True,2000.0,250.0,1585.7176418304443,162.71608567237854,no,5,Determined,positive,3,Attentive,positive,3,Strong,positive,1,Irritable,negative,1,Ashamed,negative,1,Nervous,negative,2,rebecca-pilot-2,1,24,f,2026-06-02_15-02-09
