trial_num,run,run_type,stim_condition,trial_in_contingency,current_good,contingency_trials,flower1,flower2,slot1_position,slot2_position,choice,rt,correct,reward,wait_time,iti,timestamp,trial_start_time,stim_guess,stim_confidence,panas_item_1,panas_valence_1,panas_rating_1,panas_item_2,panas_valence_2,panas_rating_2,panas_item_3,panas_valence_3,panas_rating_3,panas_item_4,panas_valence_4,panas_rating_4,panas_item_5,panas_valence_5,panas_rating_5,panas_item_6,panas_valence_6,panas_rating_6,subject_id,session,age,gender,date
0,1,baseline,baseline,0,1,29,16,47,right,left,2.0,1446.8696117401123,False,False,2000.0,250.0,99.44577622413635,5.708432197570801,no,4,Alert,positive,2,Proud,positive,1,Determined,positive,2,Hostile,negative,1,Upset,negative,1,Scared,negative,1,11330,1,28,m,2026-07-09_13-33-51
1,1,baseline,baseline,1,1,29,16,47,right,left,1.0,616.6062355041504,True,True,2000.0,250.0,104.32313561439514,10.585786581039429,no,4,Alert,positive,2,Proud,positive,1,Determined,positive,2,Hostile,negative,1,Upset,negative,1,Scared,negative,1,11330,1,28,m,2026-07-09_13-33-51
2,1,baseline,baseline,2,1,29,16,47,left,right,1.0,956.3698768615723,True,False,2000.0,250.0,109.54163789749146,15.804287433624268,no,4,Alert,positive,2,Proud,positive,1,Determined,positive,2,Hostile,negative,1,Upset,negative,1,Scared,negative,1,11330,1,28,m,2026-07-09_13-33-51
3,1,baseline,baseline,3,1,29,16,47,left,right,2.0,625.5979537963867,False,False,2000.0,250.0,114.42822003364563,20.690869569778442,no,4,Alert,positive,2,Proud,positive,1,Determined,positive,2,Hostile,negative,1,Upset,negative,1,Scared,negative,1,11330,1,28,m,2026-07-09_13-33-51
4,1,baseline,baseline,4,1,29,16,47,left,right,,,,,2000.0,250.0,120.18782377243042,26.45047354698181,no,4,Alert,positive,2,Proud,positive,1,Determined,positive,2,Hostile,negative,1,Upset,negative,1,Scared,negative,1,11330,1,28,m,2026-07-09_13-33-51
5,1,baseline,baseline,5,1,29,16,47,right,left,2.0,722.8128910064697,False,False,2000.0,250.0,125.1721498966217,31.434799432754517,no,4,Alert,positive,2,Proud,positive,1,Determined,positive,2,Hostile,negative,1,Upset,negative,1,Scared,negative,1,11330,1,28,m,2026-07-09_13-33-51
6,1,baseline,baseline,6,1,29,16,47,left,right,1.0,1078.857183456421,True,True,2000.0,250.0,130.51201963424683,36.77466917037964,no,4,Alert,positive,2,Proud,positive,1,Determined,positive,2,Hostile,negative,1,Upset,negative,1,Scared,negative,1,11330,1,28,m,2026-07-09_13-33-51
7,1,baseline,baseline,7,1,29,16,47,right,left,1.0,482.35416412353516,True,True,2000.0,250.0,135.25515961647034,41.51780939102173,no,4,Alert,positive,2,Proud,positive,1,Determined,positive,2,Hostile,negative,1,Upset,negative,1,Scared,negative,1,11330,1,28,m,2026-07-09_13-33-51
8,1,baseline,baseline,8,1,29,16,47,right,left,1.0,447.57962226867676,True,False,2000.0,250.0,139.9649360179901,46.227585554122925,no,4,Alert,positive,2,Proud,positive,1,Determined,positive,2,Hostile,negative,1,Upset,negative,1,Scared,negative,1,11330,1,28,m,2026-07-09_13-33-51
9,1,baseline,baseline,9,1,29,16,47,right,left,1.0,735.9778881072998,True,False,2000.0,250.0,144.96227598190308,51.22492575645447,no,4,Alert,positive,2,Proud,positive,1,Determined,positive,2,Hostile,negative,1,Upset,negative,1,Scared,negative,1,11330,1,28,m,2026-07-09_13-33-51
10,1,baseline,baseline,10,1,29,16,47,right,left,1.0,771.0905075073242,True,True,2000.0,250.0,149.99614667892456,56.258795976638794,no,4,Alert,positive,2,Proud,positive,1,Determined,positive,2,Hostile,negative,1,Upset,negative,1,Scared,negative,1,11330,1,28,m,2026-07-09_13-33-51
11,1,baseline,baseline,11,1,29,16,47,left,right,1.0,1672.0919609069824,True,True,2000.0,250.0,155.92981672286987,62.192466020584106,no,4,Alert,positive,2,Proud,positive,1,Determined,positive,2,Hostile,negative,1,Upset,negative,1,Scared,negative,1,11330,1,28,m,2026-07-09_13-33-51
12,1,baseline,baseline,12,1,29,16,47,right,left,1.0,589.6298885345459,True,False,2000.0,250.0,160.7814085483551,67.04405784606934,no,4,Alert,positive,2,Proud,positive,1,Determined,positive,2,Hostile,negative,1,Upset,negative,1,Scared,negative,1,11330,1,28,m,2026-07-09_13-33-51
13,1,baseline,baseline,13,1,29,16,47,right,left,1.0,854.9306392669678,True,True,2000.0,250.0,165.89712238311768,72.15977716445923,no,4,Alert,positive,2,Proud,positive,1,Determined,positive,2,Hostile,negative,1,Upset,negative,1,Scared,negative,1,11330,1,28,m,2026-07-09_13-33-51
14,1,baseline,baseline,14,1,29,16,47,left,right,1.0,711.5185260772705,True,True,2000.0,250.0,170.87037110328674,77.1330201625824,no,4,Alert,positive,2,Proud,positive,1,Determined,positive,2,Hostile,negative,1,Upset,negative,1,Scared,negative,1,11330,1,28,m,2026-07-09_13-33-51
